coadd_id,ra,dec,A_IMAGE,B_IMAGE,mag_auto_g,flux_radius_g,mu_max_g,mu_max_model_g,mu_eff_model_g,mu_mean_model_g,mag_auto_r,flux_radius_r,mu_max_r,mu_max_model_r,mu_eff_model_r,mu_mean_model_r,mag_auto_i,flux_radius_i,mu_max_i,mu_max_model_i,mu_eff_model_i,mu_mean_model_i
325439013.0,43.030595,-29.520918,7.799444,5.997388,20.194496,3.008761,23.67268,23.483326,25.283085,24.585583,19.726326,2.958757,23.159456,22.974415,24.775873,24.07645,19.556875,3.000632,22.864811,22.810133,24.610186,23.914072
287821959.0,14.73446,-20.96399,7.159667,4.242593,20.573622,2.642164,23.825296,23.490549,25.286537,24.58614,20.393391,2.495608,23.562222,23.223719,25.021,24.321165,20.313185,2.522854,23.234045,23.215651,25.009813,24.312609
273671707.0,11.48674,-63.800066,5.574538,3.124075,21.186434,2.541111,23.930462,24.125658,25.928682,25.230537,20.51988,2.608987,23.444952,23.368837,25.173492,24.473993,20.211802,2.532814,23.176998,23.11334,24.915161,24.217134
191324771.0,320.249852,-47.214799,6.118388,5.359419,20.228096,2.968188,23.591593,23.481346,25.284576,24.585182,19.891848,2.667303,23.140474,22.893194,24.696478,23.998861,19.665422,2.691433,22.776381,22.654558,24.455599,23.759209
104425217.0,34.928485,-7.146285,10.780029,8.800307,19.17691,4.270252,23.456667,23.29586,25.099064,24.399614,18.593775,4.33606,22.871115,22.754673,24.559956,23.859589,18.393099,4.249008,22.589123,22.575787,24.379049,23.680807
369281060.0,54.129144,-35.765478,6.238995,5.077518,20.198402,2.994756,23.583633,23.432867,25.236929,24.536123,20.000402,2.734567,22.975126,22.865145,24.666946,23.969528,19.87384,2.568331,22.703884,22.593267,24.398893,23.696424
83972353.0,337.568146,1.217233,6.310975,4.726101,20.458389,2.927895,23.482615,23.594866,25.397739,24.696575,20.020168,2.461115,22.831757,22.774948,24.577267,23.876795,19.630127,2.524871,22.632664,22.474628,24.27491,23.576002
481177411.0,72.377026,-57.063076,7.964026,3.666649,20.83357,2.56086,23.860374,23.658987,25.442446,24.747286,20.669109,2.50283,23.779219,23.458942,25.243595,24.551071,20.498299,2.651171,23.421078,23.350197,25.136436,24.43619
285338424.0,15.210464,-1.567559,4.97765,4.272463,20.725334,2.786355,23.916922,23.829531,25.633669,24.935057,20.399683,2.545854,23.332241,23.247559,25.048632,24.350969,20.181293,2.443378,22.933838,22.89834,24.699869,24.002666
356055540.0,20.527053,-39.253806,4.587283,2.673951,21.884659,2.942349,24.601311,25.156023,26.950293,26.250093,21.493362,2.333495,24.183931,24.245371,26.031509,25.33732,21.157282,2.444928,23.748199,24.061537,25.85384,25.160788
341092831.0,46.616067,-23.23504,8.586179,4.528958,20.254347,2.854978,23.496887,23.325506,25.122986,24.423328,20.005772,2.79177,23.053789,23.15078,24.948847,24.250605,19.990517,2.662576,23.134655,23.07308,24.867374,24.169657
141851221.0,0.6601549999999999,-43.186994,7.394563674926758,3.623657703399658,20.296836853027344,2.6719915866851807,23.248748779296875,23.237106323242188,25.03559112548828,24.33838653564453,20.1094970703125,2.391342878341675,22.886016845703125,22.593469619750977,24.393943786621094,23.690753936767575,20.040620803833008,2.2772316932678223,22.601215362548828,22.2740421295166,24.059083938598636,23.364734649658203
312407020.0,39.62916,-52.216457,5.250615,4.98738,20.96044,2.642881,24.118168,23.824461,25.625628,24.929337,20.307602,2.466769,23.467539,23.04677,24.850485,24.152893,19.964073,2.52919,22.908352,22.725674,24.528351,23.831118
247241974.0,329.479473,-61.212333,5.363247,4.808397,20.540985,2.687824,23.683456,23.326452,25.130396,24.431997,19.814819,3.035174,22.919352,22.943861,24.749556,24.049736,19.528128,3.040209,22.64637,22.682077,24.485613,23.787991
453384790.0,90.240488,-36.246233,12.804278,5.304141,20.041252,4.807003,24.053263,24.298805,26.087389,25.389263,19.540014,5.02507,23.826603,23.865437,25.653532,24.957296,19.339415,4.879138,23.374657,23.607115,25.400286,24.697931
470089079.0,67.917885,-24.925212,6.581211,5.812081,20.37462,2.821446,23.763849,23.468597,25.269533,24.571835,20.019489,2.637219,23.110867,22.961561,24.761183,24.062902,19.82798,2.755429,22.983955,22.783522,24.585701,23.886137
137626013.0,355.256892,1.420206,6.121699,3.492652,20.576948,3.056938,23.822466,23.672495,25.467115,24.770563,20.342508,2.75755,23.344589,23.199099,24.993925,24.297609,20.260281,2.620102,23.228331,23.116541,24.914543,24.216084
